sample_index,dataset,model,draft_model,temperature,block_size,method,tree_budget,num_input_tokens,num_output_tokens,time_to_first_token_ms,time_per_output_token_ms,tokens_per_second,total_decode_time_seconds,decode_rounds,mean_acceptance_length,speedup_vs_baseline,matches_baseline,stage_commit_seconds,stage_draft_seconds,stage_verify_seconds
0,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,64,291,38.98607599967363,37.0788853573892,26.96952700604084,10.789955639000254,290,1,1.0,True,0.07265198500135739,0.0,10.66726766599777
0,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,64,291,38.34471699974529,10.943851996563756,91.37550474129114,3.184660931000053,58,5,3.3881018647759067,True,0.03305006899745422,0.7395280040000216,2.405052696999064
1,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,78,238,39.17394600011903,37.12345844957911,26.937145453681126,8.835383110999828,237,1,1.0,True,0.059476599998106394,0.0,8.735119679998206
1,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,78,237,39.14033599994582,11.6621150379753,85.74773930317991,2.763921264000146,50,4.72,3.183252637166941,False,0.03030486599982396,0.6416994979977062,2.0858816679988195
2,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,96,438,38.67638399970019,37.24035046347018,26.852593693523925,16.31127350299994,437,1,1.0,True,0.10963150400039012,0.0,16.126415814006123
2,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,96,453,37.99933900018004,10.53341298454743,94.93599097149281,4.771636081999986,84,5.380952380952381,3.535449575375233,False,0.04742844499924104,1.079624794999745,3.6343556239967256
3,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,96,326,38.09690200023397,37.214514438649374,26.871235997142115,12.131931706999694,325,1,1.0,True,0.0813651010034846,0.0,11.994417350006643
3,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,96,326,38.49861000026067,9.75240816871151,102.53877634124089,3.179285062999952,58,5.603448275862069,3.8159307726725475,True,0.032024884998918424,0.739355654000974,2.4009051530010765
4,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,91,239,38.45893000016076,36.98113458159017,27.040814494042504,8.83849116500005,238,1,1.0,True,0.05938911100383848,0.0,8.73812287799774
4,gsm8k,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,91,239,38.83062900013101,10.087067694562146,99.13683840340357,2.4108091790003527,44,5.409090909090909,3.666192762989624,True,0.02507474999902115,0.5577538180027659,1.822747273999994
