sample_index,method_key,method,prompt_id,round_id,tree_budget,tree_node_count,tree_max_depth,matched_draft_tokens,committed_tokens_this_round,verifier_bonus_committed,draft_latency_ms,tree_build_latency_ms,tree_compile_latency_ms,target_verify_latency_ms,commit_latency_ms,total_round_latency_ms,nodes_at_depth_1,nodes_at_depth_2,nodes_at_depth_3,nodes_at_depth_4,nodes_at_depth_5,nodes_at_depth_6,nodes_at_depth_7
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,0,7,7,7,0,1,True,13.160311999854457,0.0,0.0,39.883716000076674,0.6487339996965602,53.799974999492406,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,1,7,7,7,1,2,True,12.720171999717422,0.0,0.0,40.38654800024233,0.6522330004372634,53.8613680000708,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,2,7,7,7,2,3,True,12.779503000274417,0.0,0.0,40.447827999742,0.6471640008385293,53.97192000054929,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,3,7,7,7,1,2,True,12.738862999867706,0.0,0.0,40.46651899989229,0.660874999994121,53.98102100025426,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,4,7,7,7,3,4,True,12.788922999789065,0.0,0.0,39.83608499947877,0.6622349992539966,53.403837999212556,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,5,7,7,7,7,8,True,12.781704000190075,0.0,0.0,40.45758000029309,0.417340000240074,53.75286500020593,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,6,7,7,7,2,3,True,12.827094999920519,0.0,0.0,41.0834430003888,0.6464759999289527,54.65429499963648,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,7,7,7,7,2,3,True,12.744163000206754,0.0,0.0,40.353745999709645,0.6445629996960633,53.85707799996453,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,8,7,7,7,4,5,True,12.759322999954748,0.0,0.0,40.53727200061985,0.6557560000146623,54.047421000177565,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,9,7,7,7,1,2,True,12.768892999702075,0.0,0.0,40.461059999870486,0.6452240004364285,53.98706100004347,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,10,7,7,7,7,8,True,12.699771999905352,0.0,0.0,40.41772799973842,0.40219799939222867,53.62079200040171,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,11,7,7,7,7,8,True,12.74657300018589,0.0,0.0,40.4622100004417,0.4232379997120006,53.72659400018165,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,12,7,7,7,1,2,True,12.771853000231204,0.0,0.0,40.63968399987061,0.6619750001846114,54.16862499987474,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,13,7,7,7,3,4,True,12.801424999452138,0.0,0.0,40.62937399976363,0.6567049995283014,54.18376500074373,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,14,7,7,7,1,2,True,12.76211299955321,0.0,0.0,40.48079099993629,0.6428850001611863,53.98437000076228,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,15,7,7,7,1,2,True,12.762641999870539,0.0,0.0,40.49399099949369,0.6449749998864718,54.01608100055455,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,16,7,7,7,0,1,True,12.761873000272317,0.0,0.0,40.56146099992475,0.659694999740168,54.08182300016051,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,17,7,7,7,0,1,True,12.711401999695227,0.0,0.0,40.512670999305556,0.6602339999517426,53.97921999974642,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,18,7,7,7,5,6,True,12.750644000334432,0.0,0.0,40.54192100011278,0.684145999912289,54.07336200005375,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,19,7,7,7,7,8,True,12.848796000071161,0.0,0.0,40.53226099949825,0.4194590001134202,53.89644800015958,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,20,7,7,7,0,1,True,12.899547000415623,0.0,0.0,40.610021999782475,0.6590749999304535,54.26272699969559,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,21,7,7,7,0,1,True,12.784673999703955,0.0,0.0,40.55971199977648,0.6413050004994147,54.08172200077388,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,22,7,7,7,1,2,True,12.75134200022876,0.0,0.0,40.58326100039267,0.6428739998227684,54.073911999694246,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,23,7,7,7,1,2,True,12.840324999160657,0.0,0.0,40.49702999964211,0.6424550001611351,54.076542999609956,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,24,7,7,7,4,5,True,12.756502999764052,0.0,0.0,40.4237180000564,0.6437850006477674,53.92643899995164,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,25,7,7,7,5,6,True,12.803874000383075,0.0,0.0,40.70419400068204,0.66237499959243,54.27065699950617,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,26,7,7,7,2,3,True,12.780383000063011,0.0,0.0,40.40823699961038,0.6631760006712284,53.94834899925627,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,27,7,7,7,5,6,True,12.782163999872864,0.0,0.0,40.35711699998501,0.6640550000156509,53.9006379995044,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,28,7,7,7,0,1,True,12.820394000300439,0.0,0.0,40.3764870006853,0.6619850000788574,53.95264899925678,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,29,7,7,7,2,3,True,12.686072000178683,0.0,0.0,40.43144800016307,0.6680360002064845,53.88143799973477,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,30,7,7,7,7,8,True,12.819194000257994,0.0,0.0,40.68086499955825,0.4209099997751764,54.017290999581746,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,31,7,7,7,7,8,True,12.853514999733306,0.0,0.0,40.63401299936231,0.42085000040970044,54.001520999918284,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,32,7,7,7,7,8,True,12.846014999922772,0.0,0.0,40.67183500046667,0.4215700000713696,54.03388100057782,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,33,7,7,7,7,8,True,12.898416000098223,0.0,0.0,40.648813000188966,0.40104899926518556,54.04552099935245,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,34,7,7,7,6,7,True,12.821074999919801,0.0,0.0,40.49665000002278,0.6607149998671957,54.07198199918639,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,35,7,7,7,7,8,True,12.85495499996614,0.0,0.0,39.6851309997146,0.4026890001114225,53.03910900056508,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,36,7,7,7,7,8,True,13.457149000714708,0.0,0.0,39.90592599984666,0.404508999963582,53.86356799954228,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,37,7,7,7,7,8,True,12.816815000405768,0.0,0.0,39.67759199986176,0.4018990002805367,52.99263899996731,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,38,7,7,7,7,8,True,12.831784999434603,0.0,0.0,39.498497999375104,0.40258899934997316,52.82841400003235,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,39,7,7,7,7,8,True,12.852465000833035,0.0,0.0,39.67364200070733,0.40625000019645086,53.02810899956967,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,40,7,7,7,7,8,True,12.800483999853896,0.0,0.0,39.50857800009544,0.4040690000692848,52.81116399964958,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,41,7,7,7,7,8,True,12.79691499985347,0.0,0.0,39.525787999991735,0.42088099962711567,52.839533999758714,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,42,7,7,7,3,4,True,12.810934000299312,0.0,0.0,39.724891999867395,0.6477450006059371,53.28036500031885,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,43,7,7,7,0,1,True,12.842174000070372,0.0,0.0,40.413898000224435,0.6437350002670428,53.99596000006568,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,44,7,7,7,1,2,True,12.805743999706465,0.0,0.0,40.670985000360815,0.6629539993809885,54.236406999734754,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,45,7,7,7,7,8,True,12.829674999920826,0.0,0.0,40.461319999849366,0.4032400001960923,53.80932499974733,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,46,7,7,7,2,3,True,12.841575000493322,0.0,0.0,40.59767299986561,0.6665350001640036,54.21804599973257,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,47,7,7,7,5,6,True,12.826264000068477,0.0,0.0,40.5735120002646,0.6651459998465725,54.16119399978925,1,1,1,1,1,1,1
0,dflash2,dflash2_greedy,gsm8k:selected:0:turn-0:cbccfbeeb182,48,7,7,7,7,8,True,12.821433999306464,0.0,0.0,39.905597000142734,0.40232900028058793,53.226452000672,1,1,1,1,1,1,1
