sample_index,dataset,model,draft_model,temperature,block_size,method,tree_budget,num_input_tokens,num_output_tokens,time_to_first_token_ms,time_per_output_token_ms,tokens_per_second,total_decode_time_seconds,decode_rounds,mean_acceptance_length,mean_matched_draft_tokens,mean_committed_tokens_per_round,full_block_acceptance,verifier_bonus_commit_rate,speedup_vs_baseline,matches_baseline,stage_commit_seconds,stage_draft_seconds,stage_tree_build_seconds,stage_tree_compile_seconds,stage_verify_seconds
0,humaneval,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,150,496,40.257635999296326,36.06565446169395,27.72721069188194,17.8885646130002,495,1,,,,,1.0,True,0.12202787803471438,0.0,0.0,0.0,17.684489505034435
0,humaneval,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,150,441,37.39031900113332,11.921698034010683,83.8806684372613,5.257468832998711,98,4.489795918367347,3.489795918367347,4.489795918367347,0.23469387755102042,1,3.025211203874184,False,0.058160277985734865,1.2286092229915084,0.0,0.0,3.9559941780098598
0,humaneval,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2_unary_k16_tb8,8,150,495,37.70577800241881,12.147450682830895,82.32179953719768,6.012988088001293,108,4.574074074074074,3.5833333333333335,4.574074074074074,0.2222222222222222,0.9907407407407407,2.9689895767734082,False,0.2122122289983963,1.4837970990010945,0.08088040000802721,0.024848359997122316,4.194007568003144
0,humaneval,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2_unary_k16_tb16,16,150,441,37.11766299966257,11.098301256235011,90.10387958591421,4.89435085399964,88,5,4.011363636363637,5,0.25,0.9886363636363636,3.2496553868036613,False,0.17300278999391594,1.2074661400001787,0.08823678497719811,0.020440778007468907,3.3908491720030725
0,humaneval,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2_unary_k16_tb32,32,150,423,37.304217999917455,10.1844323593378,98.18907571055054,4.308014887999889,77,5.48051948051948,4.48051948051948,5.48051948051948,0.37662337662337664,1,3.541253276489822,False,0.15153881999503938,1.0547275909921154,0.11429213498922763,0.0178743199830933,2.95670148901263
0,humaneval,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2_unary_k16_tb64,64,150,446,37.54477400070755,10.309059647983867,97.0020578157746,4.5978406030008045,80,5.5625,4.5625,5.5625,0.3375,1,3.4984426992569855,False,0.15850649900676217,1.0982322819872934,0.1970025879854802,0.018631189996085595,3.1115493630022684
0,humaneval,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2_pairwise_k16_tb8,8,150,441,37.046672998258146,11.129943136053011,89.84771869684754,4.908304922999378,88,5,4.011363636363637,5,0.25,0.9886363636363636,3.2404167766919825,False,0.17274941399591626,1.2073374709980271,0.07987193201915943,0.02049682898359606,3.4137872149985924
0,humaneval,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2_pairwise_k16_tb16,16,150,496,37.26121699946816,9.899820723786991,101.01193020568849,4.9103110789983475,88,5.625,4.636363636363637,5.625,0.42045454545454547,0.9886363636363636,3.6430613713071067,False,0.17322065398911946,1.2088172229814518,0.10272894898662344,0.020416631992702605,3.3908716140031174
0,humaneval,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2_pairwise_k16_tb32,32,150,497,37.27093700217665,9.60521229577605,104.11014032867924,4.773790511000698,85,5.8352941176470585,4.847058823529411,5.8352941176470585,0.47058823529411764,0.9882352941176471,3.7548003470526137,False,0.16750638099983917,1.1674556009966182,0.14205637502163881,0.01978670500102453,3.2629050020004797
0,humaneval,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2_pairwise_k16_tb64,64,150,492,37.4581220021355,9.147612373978733,109.31814326157901,4.500625287997536,78,6.294871794871795,5.3076923076923075,6.294871794871795,0.5,0.9871794871794872,3.9426303812660652,False,0.15453715099647525,1.0710772530110262,0.20890468399375095,0.01825223498235573,3.0341940390244417
1,humaneval,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,141,410,37.88317100043059,35.9575174829288,27.810596225803412,14.742582168000808,409,1,,,,,1.0,True,0.10101439897334785,0.0,0.0,0.0,14.573477283985994
1,humaneval,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,141,410,37.28130899980897,14.889734409752702,67.16036515365948,6.104791107998608,114,3.587719298245614,2.587719298245614,3.587719298245614,0.11403508771929824,1,2.4149200041725933,True,0.07131524802389322,1.4271606120091747,0.0,0.0,4.589594948985905
1,humaneval,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2_unary_k16_tb8,8,141,410,37.37724900202011,14.483844368291235,69.04244305394847,5.938376190999406,107,3.822429906542056,2.822429906542056,3.822429906542056,0.06542056074766354,1,2.4825948531764688,True,0.20996647497668164,1.4661060010039364,0.07904027903350652,0.024708490000193706,4.141531630990357
1,humaneval,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2_unary_k16_tb16,16,141,410,36.991531000239775,13.400596214634744,74.62354539926392,5.494244448000245,99,4.1313131313131315,3.1414141414141414,4.1313131313131315,0.09090909090909091,0.98989898989899,2.6832774383321634,True,0.19488563000413706,1.3568886880093487,0.09853207899868721,0.022967464010434924,3.8049030029869755
