sample_index,dataset,model,draft_model,temperature,block_size,method,tree_budget,num_input_tokens,num_output_tokens,time_to_first_token_ms,time_per_output_token_ms,tokens_per_second,total_decode_time_seconds,decode_rounds,mean_acceptance_length,mean_matched_draft_tokens,mean_committed_tokens_per_round,full_block_acceptance,verifier_bonus_commit_rate,speedup_vs_baseline,matches_baseline,stage_commit_seconds,stage_draft_seconds,stage_tree_build_seconds,stage_tree_compile_seconds,stage_verify_seconds
0,mt-bench,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,34,972,37.21037699870067,36.45024068621605,27.434661093422026,35.429633947002,971,1,,,,,1.0,True,0.23858401504548965,0.0,0.0,0.0,35.03152171905822
0,mt-bench,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2,,34,743,36.765566997928545,25.615484619116433,39.038886629289685,19.03230507200351,352,2.1079545454545454,1.1107954545454546,2.1079545454545454,0,0.9971590909090909,1.4229768137595105,False,0.23016191798524233,4.467678859065927,0.0,0.0,14.282220938963292
0,mt-bench,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2_unary_k16_tb8,8,34,766,36.86006899806671,23.84812084073216,41.9320250294949,18.267660564000835,322,2.375776397515528,1.3788819875776397,2.375776397515528,0,0.9968944099378882,1.528432404785525,False,0.6492454930703389,4.518747775051452,0.24378240005171392,0.07558453800447751,12.728858092959854
0,mt-bench,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2_unary_k16_tb16,16,34,915,36.9346610023058,21.147785227323688,47.286275572156114,19.350223483001173,341,2.6803519061583576,1.683284457478006,2.6803519061583576,0,0.9970674486803519,1.7235961257598291,False,0.6895384520321386,4.792065606976394,0.35046434298419626,0.07986489400354913,13.382654186156287
0,mt-bench,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2_unary_k16_tb32,32,34,906,37.02799200254958,19.285576730683495,51.85222168694559,17.472732517999248,305,2.9672131147540983,1.9704918032786884,2.9672131147540983,0.003278688524590164,0.9967213114754099,1.8900259606041985,False,0.6191987599813729,4.295588242166559,0.4806408040749375,0.07156795796618098,11.954575558978831
0,mt-bench,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2_unary_k16_tb64,64,34,973,36.96351999678882,18.61885983144787,53.708981594617676,18.116150615998777,310,3.1354838709677417,2.138709677419355,3.1354838709677417,0.0032258064516129032,0.9967741935483871,1.9577053061353622,False,0.6255346580364858,4.338190522081277,0.8100760779998382,0.0736099290807033,12.214407315972494
0,mt-bench,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2_pairwise_k16_tb8,8,34,943,36.97221100446768,21.418342516430833,46.688953602869205,20.197496992994274,359,2.6239554317548746,1.626740947075209,2.6239554317548746,0.002785515320334262,0.9972144846796658,1.7018235962121566,False,0.7118479119890253,4.985976106007001,0.3335216790510458,0.08452991394005949,14.023686310029007
0,mt-bench,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2_pairwise_k16_tb16,16,34,938,36.85307900013868,20.106798484008316,49.734421956600265,18.8601769779998,334,2.805389221556886,1.8083832335329342,2.805389221556886,0.0029940119760479044,0.9970059880239521,1.8128316507079079,False,0.6650607659757952,4.65046524607169,0.4084105200818158,0.07918719596636947,13.002405970015388
0,mt-bench,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2_pairwise_k16_tb32,32,34,775,36.76255799655337,18.69238991871469,53.497707053436066,14.486602187003884,254,3.047244094488189,2.0511811023622046,3.047244094488189,0,0.9960629921259843,1.9500042982584227,False,0.5071886740261107,3.546538770002371,0.4450864739555982,0.05974089296068996,9.885057948995382
0,mt-bench,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,dflash2_pairwise_k16_tb64,64,34,735,37.354439999035094,18.12410824625281,55.17512842082874,13.321219560995814,227,3.2334801762114536,2.237885462555066,3.2334801762114536,0,0.9955947136563876,2.0111467108320875,False,0.45641707796312403,3.16978354499588,0.6467396120060585,0.053581780040985905,8.954913508037862
1,mt-bench,Qwen/Qwen3-4B,mgoin/Qwen3-4B-speculator.dflash2,0.0,8,baseline,,1029,363,70.16283600387396,36.170635721766516,27.646735536866082,13.129940767001244,362,1,,,,,1.0,True,0.08884959695569705,0.0,0.0,0.0,12.981575033045374
